Feature,Importance,Importance Percentage,Feature Type
Complexity Average,0.33894602314210165,33.89460231421017,Numerical
Year Published,0.2459458380969046,24.59458380969046,Numerical
Play Time Log,0.07425259602127848,7.4252596021278485,Numerical
Max Players Log,0.05767926655623688,5.767926655623688,Numerical
Min Age,0.05586951324462376,5.586951324462376,Numerical
Min Players,0.02388617879740412,2.388617879740412,Numerical
Mechanic: Roll / Spin and Move,0.01625734436557708,1.625734436557708,Mechanic
Mechanic: Dice Rolling,0.015431660978445966,1.5431660978445967,Mechanic
Domain: Family Games,0.013936193172179992,1.3936193172179991,Domain
Mechanic: Hand Management,0.01186036403652431,1.186036403652431,Mechanic
Domain: Wargames,0.009607266452777409,0.9607266452777409,Domain
Mechanic: Set Collection,0.00924922424937952,0.9249224249379521,Mechanic
Mechanic: Variable Player Powers,0.009228916348440438,0.9228916348440438,Mechanic
Play Time Missing,0.008704687233399958,0.8704687233399958,Missing Indicator
Domain: Strategy Games,0.008656149744160225,0.8656149744160225,Domain
Mechanic: Card Drafting,0.00862932824236307,0.8629328242363069,Mechanic
Mechanic: Simulation,0.0076361646724661955,0.7636164672466196,Mechanic
Mechanic: Modular Board,0.007079965147388441,0.7079965147388442,Mechanic
Mechanic: Cooperative Game,0.007058940374013982,0.7058940374013982,Mechanic
Domain: Thematic Games,0.006609658849928661,0.6609658849928661,Domain
Min Age Missing,0.006556442079946461,0.6556442079946461,Missing Indicator
Mechanic: Grid Movement,0.0058395520791933685,0.5839552079193369,Mechanic
Mechanic: Tile Placement,0.005300701394249861,0.530070139424986,Mechanic
Mechanic: Area Movement,0.0051544571241546365,0.5154457124154637,Mechanic
Mechanic: Simultaneous Action Selection,0.005152370516833056,0.5152370516833056,Mechanic
Domain: Party Games,0.004946587926310215,0.49465879263102147,Domain
Mechanic: Area Majority / Influence,0.0048494924175570085,0.48494924175570087,Mechanic
Complexity Average Missing,0.004565462831114146,0.45654628311141465,Missing Indicator
Domain: Abstract Games,0.004530298091662943,0.4530298091662943,Domain
Mechanic: Hexagon Grid,0.004127433607714623,0.41274336077146234,Mechanic
Domain: Children's Games,0.003749428332584159,0.3749428332584159,Domain
Year Published Missing,0.003355457574454562,0.3355457574454562,Missing Indicator
Domain: Customizable Games,0.0024596933716174814,0.24596933716174813,Domain
Max Players Missing,0.0019663040128401477,0.19663040128401477,Missing Indicator
Min Players Missing,0.0009210389141725176,0.09210389141725177,Missing Indicator
